Field1,Field2,Field3,Field4,Field5,Field6
68080e85d290792d,ota,SZECC,6368,66d4d606d2,8a4b3b3aadb2
904113dda9141674,zwl,QNSEW,8240,f0d73344b5,2a5877d2cf0c
1d57555318e12492,nru,CWFDM,0328,55a0a7c494,f807fe9097b0
c75fc6e67fc3c669,lzx,OOYMZ,9333,7349a22edd,afa6d5683414
b281f32cb6ea9faa,nlq,LFJPH,4657,ac71e26551,72878a143cc6
8746d795943eff88,afa,FAIGB,7210,5a7f80ee2a,5a06348d8f97
c9dcbac510742f72,jty,XHLQF,1980,bbb7cdf5aa,51cc040e5835
eceadeda129e40d5,fpc,UFYFO,1819,83682495e3,7ec513febf70
242a1e649b4b21a2,hvz,LEGYY,1645,1530ebd1d1,7b764957e32d
4830122ccc827f97,fjm,EMUJF,0736,d1e78f85a8,fa8fdbb37a8b
e23ad6b14c7e3132,gah,OUGOJ,8956,584563303a,dfa9a0645eb7
7d0cffa2551ce4a8,yxf,YXQTK,5505,5cf043020b,561c4ff5cbea
c87a631f46408204,fbk,UAQNU,3843,d83c6844cb,b60d4d255544
127d3f62169fb00d,yqs,ZBDWE,7294,a8c64650a6,4942c5bd16b6
143241e4ebae8955,sov,ZQJVM,6248,dddf20e322,6a892ea267cf
3047fd95a34b1206,kvc,MUYIS,8837,ffbb865597,ad9671592be5
d3b73ff6ba75a96e,gij,WVHLD,9458,6ccecbe859,0fffd08581bf
a84f6c2f5d39dcba,kfl,CXXIJ,7313,200b39e97f,a838f421a431
816dde79b7207d81,kju,FPJQE,8167,d6c7471629,2d4c0de6e3e8
c0a452dbb9554e70,mbp,ZBDWE,6071,cd9302adad,f9bf3bde8d5f
51ca1bfb548f83e7,vie,ETHEP,2997,feaf0bc4bf,041212f6439c
74e6af88b44c7c96,rlo,LELYP,9099,f409be35ef,61ec8f0be0b9
08862529643bb1d7,khh,OUGOJ,3263,457737fd85,2d76699350f8
3f1a54042fe0f1a4,hvd,NMVSC,3423,f2c0b25245,87997f53c6f0
c1880cb36cbc8ecd,xfb,QTBCL,5651,9817eb102d,201b6a0d51c2
2921c9d2e070a0a3,tmf,PEKEL,7618,c403c5869e,09040e2121e9
600e898710b05eb8,rsa,VNYDQ,1205,8721663126,a86cd9d427d8
32c41a24d00230e0,syc,MIHGI,0736,a0fac9d070,b021abe75120
a107feff5fb1d065,bou,ZIBKA,1307,16cf4de8a5,727b1e233392
a5b1401f47180c96,hrm,LFJPH,7608,fdd854b084,1970396ba635
dc483001a9f29778,hvz,IFFWQ,1645,775abaaf4f,7b764957e32d
8eee4b5991016645,ooe,KCFCS,6180,82a97baabb,2c9a2a524a22
50fccf581b038a2d,fdy,PVVZK,5802,67fae7a993,9126364d4fe8
bf7ba2763a588734,xmo,CUCUE,6593,122e25b464,bf6b93e8720e
2215bc6adb43a04a,zld,DVTPH,2294,fe78684f40,4e5f22ae0793
8b67ba338a7f9438,gtp,FAIGB,5541,5a7f80ee2a,25aeaa36160f
0f7c28cc6d0a0b1d,xmz,AKGAX,0737,243e856147,417728e990db
4228e57d4c1778db,zql,BTFFE,2649,01d5477ae8,8827be35ec6c
0ca2739ca4918dcb,ayn,YXQTK,2680,619348b7e4,323f793bf74e
58d2a407ef2723fe,jty,TTYYG,1980,120604d120,51cc040e5835
49fa31021387f4c8,lzx,KIDRH,9048,fa2cb55adf,a5c28e07605e
ee4d523dee01160b,ash,JGYMA,2350,e443294c48,d512be5d771c
1052a37dad40294e,wkf,BKHDW,4429,9428550030,6903cdbbcba4
cc85f0f43a43aec4,ihg,HGRGP,6344,86431b4b19,bb79adcac081
3353e35706ef7907,tgd,NVBDP,2649,619f186241,4b0d0e245155
80521c15647f46d1,riq,QIIIC,3374,51989c8633,27cd3cbc48b5
ba294b0c989db790,rsa,ZIBKA,1205,16cf4de8a5,a86cd9d427d8
4465ab8884546227,jqr,EVXMO,2408,999bc89e9b,43062d19bce5
ab92b21fb8e91bc2,bbc,MCRVT,3224,87654d8467,d4d529f4f1ed
125b97b15fb7eea3,kit,ZRVFQ,5867,d3d79a72e0,0ab953a9d0be
62ae747fac92bd59,fsr,OVKPW,9127,c2dd6a0e2d,a38566e5a07e
9966375bc03a1ff8,xhz,ULHNF,9944,858e76bf6a,d811b2916f5a
5ee72d60667b9e5f,ptu,MMLRE,1280,cfba090094,8560681e5283
94d23c0bafa79f08,wgw,GGNCX,6469,042651842d,84c027f17e46
350678a3792dc5bd,xhf,KVRNK,9169,bf08c6e5be,be0e4328e93d
bd007087c26aa82b,hom,AJGRI,8417,888ca1823c,3edd3e30e491
fd62cd6a9a9ed0cc,fjy,GHTST,5445,377a0b0216,b423af10e53a
54ae64f3bb928bd0,mdc,RDPBS,9854,48eaa5bc6d,f638376ef24b
ed1f9a819672559c,xmz,IXVGB,6368,220807d25e,2134930ea942
542bc7413362d4f6,isz,GSULT,4522,9523b88da6,a425b81a7644
00b83253e4b78a6c,ruv,DFOAG,3594,d25e9cb9af,78eb3ed2f155
68fa0655a4e60e5f,llo,ECFVG,3062,06b9d14f33,f0e515100aa0
bdf7e7568b50fb56,jbq,ZWYGU,6500,11a8c93452,c9885c14e37d
b7750eda8f187629,gah,WFFSL,7178,77062ba9af,c8f16ccca275
aa58b6780772178b,kit,VMJSK,5867,3f574885bf,0ab953a9d0be
8df1cd6449ff5dab,elm,IXVGB,7553,7b07da1382,5ad0aeae0fcd
61509fde980b1760,ioe,MMYJX,7096,abf722116c,ab46c427e1b5
edb0b54ad6e41c2e,bnb,JJREJ,0616,e23735131c,b734f7b6ad23
f9f92c243c31c3c7,ofd,LYLYL,6581,7630b9dd0c,4a5db96b2c1b
09ddb603f4d64ed0,asl,WQBYS,7262,b57071527f,8da698733d10
8461da75a04da271,xyt,GHIFC,3548,671ffff5f3,423c7d4ec13d
8d6973442db9f544,ilh,JNXXP,2547,cd2c9d76c2,0eaf26bad0ea
8931d4b677d79b5e,nsi,NLWBN,3352,b8bf0c3416,8fe5496a989f
6e2b942c11367fac,opj,RYEPF,8754,be90a9ceb9,9c8a85c793d2
4e31c30ba6fd4a59,igi,DCURQ,7196,f981ea2686,3982087493dd
a8aacdc245c1b0cc,qvc,YSWBI,6004,155d8c6eee,92be2e0156c9
5e1fcca7b9dc5553,pxw,AKGAX,9037,243e856147,312172929df8
9748c3332b176b9c,euf,ZXCSG,7082,c7a5823792,44a2c7b660d4
5c578f6e1f35ae96,fob,FGPAF,0642,7a2d472df1,8715d6359211
bea8c3d2f65be6b1,ezv,SEQED,6638,f6b2d9da80,d518f9e54546
be4c760a57462937,mbp,JRHOY,6319,f483fe073e,4f5db0df68e0
8122990ba13b24a4,gio,OOYMZ,3062,7349a22edd,1b15f0d45986
d7123fdd22d42647,vdn,TOTUJ,5215,16d6856272,c6d7a2a8457e
a42470141dd0b65f,zvt,MXTTL,6330,c9739f7eef,7244d6dd1f91
cc9d8bd46a8a9082,imw,CAOZC,7178,b43c9b65ec,5728c2fbb2de
06360d17259a497e,ksh,BDRQG,6071,86e2007a4c,f159a17eccf7
b0ab8218172d8aa5,pkv,DFOAG,3450,d25e9cb9af,109e4db71ec4
fd6f7fe9b51b6ad4,msx,JJREJ,0497,337fd81f88,71c5bfaf2863
3f6c1526b2140a0b,bxu,OKHIC,6133,8d5e8082d2,4918e9896b18
2b16616eb70042c1,ujc,RYEPF,5805,be90a9ceb9,d0accfad356b
618fd861f162a4ed,qay,SVMBL,8064,f3e98f39c6,730b1291cbbd
c78979a5140e2177,hel,JWKHR,7294,4eb7af9c50,11c8de7f2109
df1e5f4f13efe5b6,iyg,RMHRC,3878,8b34dfb245,e0691c2a1a57
f7b650de5f89f38f,wjy,RYEPF,3503,334427f732,d28a69ad3247
5af414df2c63051e,kap,VCROF,4206,393a76f083,70ad4e9f0fa7
3671fa051145b79e,sqh,HDGZL,3831,9f3e235639,4eec129013c9
3940483994d59892,kjx,UCNHV,9458,69e72f297d,4ac9a0bb1c49
3260ddc4e209a725,ash,BTFFE,0613,6911160e17,31e1f864d6b3
6542ea748d9b17b4,ckv,ZBDWE,2277,e925864016,7f96bb9b59f5
31492576352dea28,imw,GSULT,5567,c9a808161f,ed536182ac86
7ebcd524f6212fc4,dmp,LSXRY,8955,9922afa6dc,4ae8eed3020c
5251c57ea3c60638,far,SXHKU,2751,c154f4f562,c858bcc5ca7c
2ae31cbf23b15b35,zgf,KKTUJ,6133,97cc928fc3,ce79447c44ea
042b4cac49683838,rch,JNXXP,9161,0f470bdcee,6a486f4175fd
d6fa34c4dddd4626,alz,BKSJD,7838,93be6dae7d,bb8590938f86
4b130a52b39e0b9d,gxk,WVHLD,6299,6ccecbe859,5d761beb5d31
89a6263f5da6c8aa,mmq,JYTGU,8754,11f832d61d,2d544c843ba4
8b2d78bd4753500d,fjp,HUGCB,4796,2a06615a55,1b4eeedc4dc5
f65aded8f5bc906a,sov,SDZIQ,5051,223d92d6d0,975e34f9ae55
ee0a9e3cafc075ce,xaf,VJIOM,7313,feb5f4f972,bac6456d1c82
ab235235f27fb7d8,xlv,RMHRC,9174,1283745c4c,dd8ed5c26dbd
38605495d752058c,cbq,QQXPH,1864,060565d070,5976f272fa4d
66198335c078027e,ash,EEWGW,2350,05d21cc124,d512be5d771c
4eaccf547d58214b,qyq,NMVSC,7548,d98afcb4c0,2fd8ce457962
0d02a8ffc38b5307,fpc,DTBFS,5215,159344c58d,d8aebde0a22a
795b110c886e0770,ckv,ZBDWE,2846,fb354032a4,097af057c922
78b33114087a7fc4,txy,AIVCN,2416,17ae1b54b7,bf8a97a6420f
7740ddd7a22213d9,cmy,SVMBL,5071,f3e98f39c6,c6d617353484
fbaf62bfc21a2d0c,cmj,BKHDW,4156,65b70647ff,5581b4ee1aa7
45a4910388cee3a2,ism,GPPNE,1547,2978df720b,5f38a951aa92
48c9fae27d10aee0,nru,RGAWR,0328,710479fcb2,f807fe9097b0
74de59e6055faa2f,syc,CUCUE,3462,e3cd7fc40c,d03b4f31c427
c1655c823e0c593d,pto,OUGOJ,5805,584563303a,a95c9033a260
8cee588032e66ed6,mdc,GHTST,3421,d0341bf1cb,f4258e10b074
4801b4801509a578,kpv,FQKNG,9944,75ebb7fb6b,b52258217891
93e50f47ea7fab73,cwa,TXKOL,5867,e271bbf00d,cc55c35c477d
b899a9ef560b733d,cgs,EMUJF,2650,96b951597e,b142094d62b5
647d3a3015cb973a,qbw,WVPCC,0086,0b856aebe3,c405a68eaf0b
d25d163281afb10f,mhp,CXYDA,1431,4cd3116e83,0e0982454c92
2c558c60ebbe6b73,sov,CXYDA,5051,5bb66a41c0,975e34f9ae55
f0cb42d431c95a16,cyl,UBNKB,8754,10e774ba6c,1b6e1cfe6f7e
7c450ec8ae944f07,stf,CEYNM,2649,3f3f67cec9,8ea5a2806ec8
d64ae5842dc7b528,zra,CPRZP,2910,f1ec6c14b8,c2eabb1fcd2b
81858fe642ea62a4,xyt,EVEFV,3224,186aa86023,cfbe58573f45
8cca1e82b3de535f,btn,ETHEP,7420,236828e020,4f18034ef5e8
ce6cda0c503131ec,dwc,WFFSL,6656,77062ba9af,2fce5d561750
b0504859ef09c9cc,pto,UCNHV,2649,98ce4b7b8f,f8a863ffb75a
929ca91ad3778714,kyp,RDNQO,8993,21fa6b70c1,b4338daf5e60
d6395b7858ea5b18,ujc,QIIIC,5805,011d48774c,d0accfad356b
4508eb46a260e945,cgs,XHAPI,3878,8cb34b96ef,50258fe2009f
4fa4e7829c9ea283,tgd,CAOZC,2947,94be002b71,16411e86f1d3
2e8dd821959348fc,ooe,LELYP,0309,490395133b,d0edccf7b060
a599e956affd5052,uoy,BNTSV,8036,51eefbfcc0,887f916299ab
7f94ba537c27e0b9,syc,ARBQZ,2277,51372b7066,fefa574216fc
861b5aecd3469e5f,hbr,GBGEW,7583,123b017a31,ae9f807e3480
a5e25996c2ab1c93,ccw,CGWPK,3953,9cd2f5864c,c6a92f289e5a
a271d938f020d2a4,kir,BTFFE,7650,6911160e17,970eb4f59adf
e6b1caf03561c91c,nld,BDRQG,4774,61f169d224,a5bbbfc2529a
95193064916f9a4f,lfo,TTYYG,3324,120604d120,7cb3df019db1
5e27a27863bd1438,ozb,EVEFV,8578,0823ba960f,c8910092c630
cf4d54f41d2d84d3,rvw,OYVYH,1991,8c483b05c9,56163d4d9739
e51ff44e0e3eb23a,cfe,NSXRN,6525,8502e39257,1ec990539add
0cd69db81543222f,tsy,VZEQA,9867,f8795dd839,d533adf519f7
a6c938785f081ca2,dwc,CUCUE,6656,90c637427b,2fce5d561750
6b0893076ec19ecd,lcd,UBOJJ,8969,65ef218638,c52bc132fca5
abe88d52a0dc1259,ecw,RGAWR,4796,a3b8c7b034,755307c4dae2
ee29417b2bcaed75,jty,RCAVB,4747,4176a11513,eed6a5870edb
ab05e8d904297957,ogc,BTFFE,4429,01d5477ae8,40715880ebd3
6d45150db095fe3f,rlo,UOUFB,9099,1540ab56b5,61ec8f0be0b9
d48e51926b70a88a,msx,ZRVFQ,2416,e4cb0c7801,f9146a696652
9e21a9db4f7420c7,fbk,RGCRT,3843,df3a260a57,b60d4d255544
dc7dcbad287ec7ef,fgm,NSXRN,7924,d3ec2cf81c,01851eaa731d
1b0db0a5a37617b2,wgw,EEWGW,7313,4f6bc080ee,27c524c6dd5b
9f697cbb01be7cb4,zxk,JKYGW,3594,e7aaf4c438,04f07a245b6e
7b3070cbd3370962,kap,PNIYD,4206,eee03dbb89,70ad4e9f0fa7
dfd2a57b65f43bec,kir,VCROF,7650,393a76f083,970eb4f59adf
5d48bba4e3615557,ixl,WAGJM,8123,555aac5ece,d8848ebe0510
7e5ccf7416fc5547,gah,CEYNM,8956,7ee6881545,dfa9a0645eb7
751b8063f0f8dd2e,tui,LSSFQ,9463,e8a8281277,1951dac2734c
6c7fe2fea642182c,eok,LSXRY,6425,4e6e826d17,7a9a663d70dc
20594a4bef1cd593,wql,UAQNU,3878,2593fc0190,e25109a4b790
7eaa009bebeb252c,uuo,XIXJR,3421,8eb1ccec25,9592af5692ab
6a7d779631a37045,apz,PQDKV,9130,ce63bca14a,a61c89f608f3
ec898436fb80f297,xmz,IAFGH,6368,9d3861e54d,2134930ea942
445e30a0cdd0d988,iwv,WQBYS,2408,4d52c73905,909e09c83373
0b00a2518028e9c6,ota,ZHADT,6368,874541558e,8a4b3b3aadb2
af5d62bdfe841251,kpv,VFFCM,9944,77f6e69c79,b52258217891
b1bf73edec3bedea,rch,OOYMZ,9161,3828c7ff23,6a486f4175fd
020b3be4c63fa4af,rap,FGPAF,2133,f72892ca38,d0355b51e607
572692877850bdba,nld,RYEPF,4774,334427f732,a5bbbfc2529a
5c95836eafd1dd42,idi,MXJKQ,7501,a5055c578a,9758541f7a29
535467ef977c2047,mtv,OIGHR,2650,6f9da9d01d,3395b105db66
3b9208ef32047b89,hlt,ZGVCI,7433,1bdb6bf25c,f7646fee8d68
