Field1,Field2,Field3,Field4,Field5,Field6
722d99b0b35c09e0,ace,TQUSG,6616,f26f8eb3aa,aff079aefea7
d262d2c4cdcec071,plz,CYFTC,8415,f38220bf40,55a959ffe748
8000786bedbe133f,reg,EYBIE,1054,7a18c55f6f,bc883fe0172b
396d328eec0741fe,tuf,WMJTI,3174,47dcbb45fe,ad0f2f311b67
d78d63d0c28623fc,tvo,KTSKQ,7964,8a8e06719b,a7abb6800cbe
86e8967ae27627a1,yev,UUXDK,7964,3dd5674a2b,d86cbb044ad2
1607341d3e885912,wxz,IAJYM,5412,d2b24d2829,ebcc3a9f13a2
d51cdf5e4ecc8c44,zmp,VHFLE,1629,fc804b7566,8ad526550235
64fc95ab5b96c1bc,zcx,KTSKQ,0075,a62b425ed2,f4fc9d0a4b0a
7c55044aedc1c112,yar,SKUAV,9718,e6fc474163,829eb09ee08b
dc173d8c60bcf38f,udm,LKFXR,1786,ca0dc87506,4971f030d315
0151b208a072214b,xte,TQUSG,3112,a13e9ec5b2,0c98fd1d552c
5e6d26c4cf6c6d67,yar,VMTKB,9718,81f2ec4c65,829eb09ee08b
6779c0d26e80a559,bej,KTSKQ,1714,21bee10210,f8e0bfe78ad0
6d5850a870844f3e,qvg,KTSKQ,1672,a62b425ed2,1e5521f599a7
d6d9015f69059025,cgj,JPDAB,7272,ebaad7b53b,aae03b6583a0
be8ca93a1a4ec460,msp,SKUAV,4244,e6fc474163,fee4661749c6
0709697f00d35ecd,eoh,TKQJJ,1714,7748687c3a,c02284a7b0d3
d519572af6e63606,seq,WRDMH,8415,bd0a7842c0,dc65eb50a724
7e4371dba5828561,fki,MPTOI,3689,f3398e2c2a,ad1136c4e2a1
63f7d21efda2b69b,cfy,OXIKM,3087,40645e4de3,a38e95f63333
98b6d9850bca6e71,xor,CYFTC,5610,d885108a2c,09d0af1ae1d7
f621d925fe5da8c7,zxn,TKQJJ,1714,b5cede7687,f96a85307515
10692fc3b1de3e8e,ace,CYFTC,3174,e9a4ff0b6f,ca7d3d2f9a7f
2f32d2995a0529ee,zcx,VHFLE,0075,1f3963bd20,f4fc9d0a4b0a
d8da57ecd59fc81f,yar,DYCIB,9718,55990a026b,829eb09ee08b
e9b14091a0007f6d,msp,KTSKQ,3604,781c8e1169,18baadfdc8d1
21fdf787465a3d81,yev,EYBIE,8716,7a18c55f6f,0461dc0f89b0
4950c7569486a282,nzu,XRIUV,8361,7a644dd7d1,fe4f3d951650
4963824465230b64,nzu,TQUSG,9676,a3266364ed,4b663d9f8ed8
5499bfa0d697d2da,reg,VHFLE,9069,802c9e9853,af019d6892f2
1f363134d8d228b9,dtf,KTSKQ,4671,773a0b7044,c423fa599eb5
49465abeadc4e027,yev,CPATY,1743,a7d20bc820,5a5fd3331e49
a2f7bc373266f57f,yev,TQUSG,5937,f26f8eb3aa,559bc4b27ca6
74faf2389f20e3c9,nxm,EYBIE,3174,fe55aede36,46a0e8c295ae
4165a4284a3ce457,msp,WATJZ,7964,d312747e92,9838fc96d5c3
9dc851624a60f24b,udm,TKQJJ,7788,8c6cdc5a7e,38794dcd0387
2334052fd804d672,rme,UUXDK,1786,6907205f8f,9d62f701ffbe
46436fd9f6f1a82e,cfy,XRIUV,1672,7a644dd7d1,d9acedb8b93c
e968ebf7317dc969,ixz,WRDMH,6616,bd0a7842c0,af4e66731304
aaefcf6a2d2834ce,ace,IAJYM,3174,d2b24d2829,ca7d3d2f9a7f
d54b1037e0f5686d,seq,CYFTC,0176,3efab7a032,6d9c23fff3ee
e5a939d30b6e7ddc,yev,CYFTC,8716,be97904950,0461dc0f89b0
37a1158522357ec5,fki,KTSKQ,3689,8a8e06719b,ad1136c4e2a1
7c516d191d92bd7b,wdm,TQUSG,7083,a13e9ec5b2,836f9157f5d7
bf6c3be9dc44376a,dtf,WMJTI,4671,7e64c6c747,c423fa599eb5
d31a33445318c887,bej,KTSKQ,1714,781c8e1169,f8e0bfe78ad0
ee4662d3ae1bf14a,jbz,WMJTI,9676,e4eb0f1571,f1324ceeb78b
54cd7e53503c858d,duk,CYFTC,1672,be97904950,94b71d9363b3
2b7c7c92eb1fd838,qvg,EYBIE,1672,a3423b809d,1e5521f599a7
21aacd22b63bbd9c,fyj,WMJTI,2312,7e64c6c747,a197458dd54c
be0ae0391bb759fd,cwu,WRDMH,7083,fd1a92fce5,fefcac7f1df0
e872ba9675e54585,yar,FFDRW,4473,c305fb2521,c5bb504a1bc8
68e0d3ad80a3db52,nxm,TNWBH,1259,9011ee1a43,e9a2e601060c
c26afbf18cec1876,brl,VHFLE,7124,75187b3fbc,4d564a07e0ff
34d5e74618795cce,zcx,EYBIE,0075,afb95b6e04,f4fc9d0a4b0a
