APELLIDOS,,,,,NOMBRES,,,,
Morelos,y Pavon,,,,Jose,Maria,,,
Hidalgo,y Costilla,Gallaga,Mandarte,Villasenor,Miguel,Gregorio,Antonio,Ignacio,
Perez,Pavon,,,,Juana,Maria,Guadalupe,,
Calleja,del Rey,,,,Felix,Maria,,,
Bravo,Rueda,,,,Nicolas,,,,
Adaucto,Fernandez,Felix,,,Jose,Miguel,Ramon,,
Allende,Unzaga,,,,Ignacio,Maria,Jose,,
Matamoros,Guridi,,,,Mariano,Antonio,,,
Iturbide,Aramburu,,,,Agustin,Cosme,Damian,,
Ortiz,Tellez,Giron,,,Maria,Josefa,Cresencia,,
San Martin,Matorras,,,,Jose,Francisco,,,
Vicario,Fernandez,San Salvador,,,Maria,Soledad,Leona,Camila,
Lopez,de Santa Anna,Perez,Lebron,,Antonio,Padua,Maria,Severino,
Aldama,Gonzalez,,,,Juan,Jose,Marcos,Gaspar,Antonio
Juarez,Garcia,,,,Benito,Pablo,,,
Diaz,Mori,,,,Jose,de la Cruz,Porfirio,,
Madero,Gonzalez,,,,Francisco,Ignacio,,,
Arango,Arambula,,,,Jose,Doroteo,,,
Zapata,Salazar,,,,Emiliano,,,,
Carranza,de la Garza,,,,Jose,Venustiano,,,
Lerdo,de Tejada,Corral,,,Sebastian,,,,
